mu_B,pressure,energy_density
983.70000,4.50141,146.43600
983.80000,4.51677,146.61002
983.90000,4.53214,146.78377
984.00000,4.54753,146.95722
984.10000,4.56293,147.13048
984.20000,4.57835,147.30365
984.30000,4.59380,147.47672
984.40000,4.60925,147.64954
984.50000,4.62473,147.82221
984.60000,4.64022,147.99473
984.70000,4.65573,148.16702
984.80000,4.67126,148.33915
984.90000,4.68681,148.51099
985.00000,4.70237,148.68265
985.10000,4.71795,148.85415
985.20000,4.73355,149.02547
985.30000,4.74917,149.19654
985.40000,4.76480,149.36737
985.50000,4.78045,149.53809
985.60000,4.79612,149.70865
985.70000,4.81180,149.87902
985.80000,4.82751,150.04929
985.90000,4.84322,150.21933
986.00000,4.85896,150.38934
986.10000,4.87472,150.55908
986.20000,4.89049,150.72869
986.30000,4.90627,150.89811
986.40000,4.92208,151.06726
986.50000,4.93790,151.23618
986.60000,4.95374,151.40487
986.70000,4.96960,151.57347
986.80000,4.98547,151.74181
986.90000,5.00136,151.91008
987.00000,5.01727,152.07825
987.10000,5.03320,152.24615
987.20000,5.04914,152.41395
987.30000,5.06510,152.58157
987.40000,5.08107,152.74885
987.50000,5.09707,152.91602
987.60000,5.11308,153.08304
987.70000,5.12910,153.24984
987.80000,5.14515,153.41650
987.90000,5.16121,153.58321
988.00000,5.17729,153.74959
988.10000,5.19338,153.91577
988.20000,5.20949,154.08172
988.30000,5.22562,154.24753
988.40000,5.24176,154.41311
988.50000,5.25792,154.57872
988.60000,5.27410,154.74397
988.70000,5.29030,154.90901
988.80000,5.30651,155.07396
988.90000,5.32274,155.23876
989.00000,5.33898,155.40328
989.10000,5.35524,155.56768
989.20000,5.37152,155.73188
989.30000,5.38782,155.89606
989.40000,5.40413,156.06002
989.50000,5.42045,156.22390
989.60000,5.43680,156.38750
989.70000,5.45316,156.55097
989.80000,5.46954,156.71432
989.90000,5.48593,156.87744
990.00000,5.50234,157.04043
990.10000,5.51877,157.20331
990.20000,5.53521,157.36600
990.30000,5.55167,157.52850
990.40000,5.56815,157.69075
990.50000,5.58464,157.85293
990.60000,5.60115,158.01492
990.70000,5.61767,158.17675
990.80000,5.63421,158.33834
990.90000,5.65077,158.49981
991.00000,5.66735,158.66118
991.10000,5.68394,158.82236
991.20000,5.70054,158.98334
991.30000,5.71717,159.14419
991.40000,5.73380,159.30498
991.50000,5.75046,159.46571
991.60000,5.76713,159.62620
991.70000,5.78382,159.78639
991.80000,5.80052,159.94642
991.90000,5.81724,160.10636
992.00000,5.83398,160.26608
992.10000,5.85073,160.42563
992.20000,5.86750,160.58501
992.30000,5.88428,160.74432
992.40000,5.90108,160.90346
992.50000,5.91790,161.06248
992.60000,5.93473,161.22126
992.70000,5.95158,161.37990
992.80000,5.96844,161.53842
992.90000,5.98532,161.69684
993.00000,6.00222,161.85513
993.10000,6.01913,162.01324
993.20000,6.03606,162.17125
993.30000,6.05300,162.32907
993.40000,6.06996,162.48665
993.50000,6.08694,162.64411
993.60000,6.10393,162.80139
993.70000,6.12094,162.95860
993.80000,6.13796,163.11555
993.90000,6.15500,163.27243
994.00000,6.17206,163.42917
994.10000,6.18913,163.58570
994.20000,6.20621,163.74211
994.30000,6.22331,163.89842
994.40000,6.24043,164.05457
994.50000,6.25756,164.21057
994.60000,6.27471,164.36641
994.70000,6.29188,164.52213
994.80000,6.30906,164.67762
994.90000,6.32625,164.83306
995.00000,6.34347,164.98843
995.10000,6.36069,165.14357
995.20000,6.37794,165.29853
995.30000,6.39519,165.45336
995.40000,6.41247,165.60794
995.50000,6.42976,165.76240
995.60000,6.44706,165.91678
